;;;;standardní balení;;;;balení 1;;;;balení 2;;;;;nákup;;;;;;
druh;nazev;e-shop;poznamka;std.balení g;MOC sáčku;VOC sáčku;%;g;cena MO;cena VO;%;g;cena MO;cena VO;%;;kg;standard;vzorek;bal-1;bal-2;TAO %;obch.%
Čínské Červené ;Diang Hong Gong Fu;;;50;180;134;34,4;200;650;510;27,5;500;1560;1230;26,9;;1850;103;10;385;940;74,8;25,6
Čínské Červené ;Diang Hong Jin Zhen;;;40;200;133;50,4;200;790;620;27,5;500;1900;1520;25;;2300;102;10;475;1165;96,1;33,5
Čínské Červené ;Diang Hong Jin Hou;;;40;350;201;74,2;200;1250;960;30,3;500;2990;2360;26,7;;3600;154;10;735;1815;127,3;42,6
Čínské Červené ;Keemun Mao Feng;;;40;200;151;32,5;200;920;710;29,6;500;2200;1750;25,8;;2650;116;10;545;1340;72,5;24,5
Čínské Červené ;Tan Yang Yin Hao;;;40;210;162;29,7;200;990;770;28,6;500;2390;1880;27,2;;2850;124;10;585;1440;69,4;22,9
Čínské Červené ;Lapsang Souchong - Zhen Shan Xiao Zhong;;;40;160;110;45,5;200;700;510;37,3;500;1700;1230;38,3;;1850;84;10;385;940;90,5;31,3
Čínské Červené ;Phoenix Hong Cha;;;30;250;193;29,6;200;1560;1220;27,9;500;3790;3010;26;;4600;148;10;935;2315;69;22,8
Čínské Červené ;Jin Jun Mei;;;40;220;171;28,7;200;900;700;28,6;500;2150;1710;25,8;;2600;114;10;535;1315;93;22,3
Čínské Červené ;Tian Mu Hong Cha;;;40;190;146;30,2;200;870;690;26,1;500;2100;1680;25;;2550;112;10;525;1290;69,7;23,2
Čínské Červené ;Yunnan Ye Sheng;;;25;200;149;34,3;100;730;560;30,4;250;1720;1370;25,6;;4140;114;10;429;1050;75,5;25,5
Čínské Červené ;Wu Yi Hong Cha;;;40;240;188;27,7;200;1140;900;26,7;500;2750;2200;25;;3350;144;10;685;1690;66,7;21,7
Japonské Červené ;Koucha Kouchun;;;50;260;202;28,8;200;990;780;27;500;2420;1910;26,8;;2900;155;10;595;1465;67,8;22,4
Japonské Červené ;Koucha Yuzu;;;40;280;216;29,7;200;1340;1040;28,9;500;3230;2560;26,2;;3900;166;10;795;1965;68,7;22,9
Japonské Červené ;Yabemura Benifuuki;;;30;250;193;29,6;200;1550;1220;27,1;500;3790;3010;26;;4600;148;10;935;2315;69;22,8
Černý Darjeeling Indie Nepál;Earl Grey Natural;;;50;160;124;29,1;200;600;470;27,7;500;1450;1130;28,4;;1700;95;10;355;865;68,5;29,1
Černý Darjeeling Indie Nepál;Golden Tips - SF Arya Tara;;;30;220;146;50,7;200;1190;910;30,8;500;2800;2230;25,6;;3400;112;10;695;1715;96,5;50,7
Černý Darjeeling Indie Nepál;FF Nilgiri Kairbeta;;;50;260;208;25;200;990;800;23,8;500;2460;1970;24,9;;3000;160;10;615;1515;62,5;20
Černý Darjeeling Indie Nepál;FF Kalapani Basanth;;;40;200;159;25,8;100;490;390;25,7;250;1190;930;28;;2800;122;10;295;715;64;25,8
Černý Darjeeling Indie Nepál;SF Kalapani Special Black;;;40;200;159;25,8;100;490;390;25,7;250;1190;930;28;;2800;122;10;295;715;64;25,8
Černý Darjeeling Indie Nepál;FF Singbulli;;;40;230;182;26,4;100;570;450;26,7;250;1350;1080;25;;3250;140;10;340;828;64,3;20,9
Černý Darjeeling Indie Nepál;FF Arya Tara;;;40;180;133;35,4;200;790;620;27,5;500;1900;1520;25;;2300;102;10;475;1165;76,5;26,2
Černý Darjeeling Indie Nepál;SF Megalay Lakirsiew Black;;;40;230;180;27,8;100;550;440;25;250;1330;1060;25,5;;3200;138;10;335;815;66,7;21,8
Černý Darjeeling Indie Nepál;SF Puttabong;;;50;220;176;25;100;440;350;25,8;250;1050;840;25;;2500;135;10;265;640;63;20
Černý Darjeeling Indie Nepál;AF Seeyok;;;50;270;208;29,9;100;520;410;26,9;250;1250;1000;25;;3000;160;10;315;765;68,8;23
Černý Darjeeling Indie Nepál;FF Kangra Wah - Himachal Pradesh;;;40;200;169;18,4;100;500;410;22;250;1250;1000;25;;3000;130;10;315;765;53,9;15,5
Černý Darjeeling Indie Nepál;FF Giddapahar Wonder;;;40;220;182;20,9;200;1050;870;20,7;500;2500;2140;16,9;;3250;140;10;665;1640;57,2;17,3
Černý Darjeeling Indie Nepál;FF Tukdah;;;40;300;234;28,3;100;750;580;29,4;250;1850;1410;31,3;;4250;180;10;440;1078;66,7;22
Černý Darjeeling Indie Nepál;FF Goomtee;;;30;260;208;25;100;840;670;25,4;250;2060;1650;24,9;;5000;160;10;515;1265;62,5;20
